id,first_name,last_name,slack_handle
1,Shaine,Willbourne,swillbourne0
2,Alfy,Donnelly,adonnelly1
3,Susy,Habercham,shabercham2
4,Levi,Gude,lgude3
5,Eveleen,Kamen,ekamen4
6,Isidoro,Craghead,icraghead5
7,Junie,Pimlott,jpimlott6
8,Brod,Puddin,bpuddin7
9,Maxie,Pillman,mpillman8
10,Augustina,Dowdeswell,adowdeswell9
11,Flossi,Bortolotti,fbortolottia
12,Debora,Bremen,dbremenb
13,Norbert,Lackney,nlackneyc
14,Elfrieda,Mistry,emistryd
15,Blane,Carlisi,bcarlisie
16,Melva,Granville,mgranvillef
17,Lind,Iston,listong
18,Dore,Birds,dbirdsh
19,Annalee,Allsup,aallsupi
20,Rosabella,Longmead,rlongmeadj
